0	1	1	1	1	1	1	2	3	4	4	4	4	4	4	5	6	1	1	1	1	1	1	1	0	1	1	1	1	1	1	7	6	1	1	1	1	1	1	1	0	1	1	1	1	1	1	7	6	1	1	1	1	1	1	1	0	1	1	1	1	1	1	7	
8	9	9	9	9	9	10	9	8	10	9	9	9	9	9	11	8	9	9	9	12	13	12	13	8	10	9	9	9	10	9	11	8	9	9	9	14	15	11	15	8	10	9	9	9	9	9	11	8	9	9	9	9	9	10	9	8	10	9	9	9	9	9	11	
16	17	18	18	18	19	20	17	16	20	17	18	17	18	19	21	16	18	18	18	22	23	22	23	16	20	17	18	19	20	19	24	16	17	18	18	25	26	24	27	16	20	17	18	17	18	19	21	28	17	18	18	18	19	20	17	16	20	17	18	17	18	19	21	
29	20	30	31	19	32	33	34	29	26	20	19	20	19	26	26	29	35	36	31	37	38	37	38	29	26	20	19	39	40	26	26	29	20	30	31	19	26	41	31	42	26	20	19	20	19	26	26	16	20	30	31	19	26	39	43	29	26	20	19	20	19	26	26	
29	26	20	19	26	44	45	46	29	26	26	26	26	26	26	26	29	47	48	49	22	23	22	23	42	26	26	26	50	51	52	26	42	26	20	19	26	26	20	30	16	26	26	26	26	26	26	26	29	26	20	19	26	52	53	51	29	26	26	26	26	26	26	26	
29	26	26	26	26	54	55	56	42	26	26	26	26	26	26	26	42	26	57	58	59	60	59	60	28	26	26	26	26	61	62	26	28	63	26	26	26	26	26	20	42	26	26	26	26	26	26	26	29	26	26	26	26	54	55	56	42	26	26	26	26	26	26	26	
42	64	65	66	65	67	68	69	28	66	70	70	70	70	65	64	28	26	47	47	47	47	47	47	28	26	26	26	26	47	47	26	71	72	70	70	70	73	70	70	28	66	70	70	70	70	66	74	42	64	65	66	65	67	68	69	28	66	70	70	70	70	65	64	
28	26	21	21	24	20	17	18	28	24	61	75	75	62	21	27	16	66	65	65	65	65	66	65	16	66	65	65	65	66	74	70	76	58	58	58	77	58	58	77	28	24	78	79	78	79	21	27	28	26	21	21	24	20	17	18	28	24	61	75	75	62	21	27	
16	26	26	26	26	26	20	19	28	26	47	47	47	47	41	31	29	24	21	21	21	21	24	24	29	21	24	21	21	21	41	31	80	47	47	81	81	47	47	47	28	26	47	47	47	47	41	31	16	26	26	26	26	26	20	19	28	26	47	47	47	47	41	31	
42	26	26	26	26	26	26	41	16	63	26	26	26	26	20	30	82	52	52	52	26	26	26	52	82	26	26	52	52	26	20	30	42	26	26	83	84	26	26	41	28	26	26	26	26	26	20	30	42	26	26	26	26	26	26	41	16	63	26	26	26	26	20	30	
8	26	26	26	26	26	26	20	42	85	86	26	26	26	26	20	12	13	12	13	26	26	26	12	13	26	26	12	13	26	26	20	8	26	26	87	88	26	26	20	8	26	26	26	26	26	26	20	8	26	26	26	26	26	26	20	42	89	26	26	26	26	26	20	
90	73	70	70	65	65	64	65	28	65	65	65	74	70	73	70	22	23	22	23	73	73	73	22	23	73	70	22	23	73	70	70	90	73	70	91	92	70	73	70	90	73	70	73	70	70	73	70	90	73	70	70	65	65	64	65	28	65	65	65	74	70	73	70	
93	1	1	7	94	94	26	24	28	21	24	94	52	93	1	7	95	96	95	96	1	1	1	95	96	1	1	95	96	1	1	7	93	1	97	1	1	97	1	1	1	1	1	1	1	1	1	7	93	1	1	7	94	94	26	24	28	21	24	94	52	93	1	7	
98	99	99	100	78	79	26	26	8	26	26	78	79	98	99	100	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	100	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	100	98	99	99	100	78	79	26	26	8	26	26	78	79	98	99	100	
101	68	68	69	81	81	52	52	8	52	52	81	81	102	68	69	102	68	68	68	68	68	68	68	68	68	68	68	68	68	68	69	101	68	68	68	68	68	68	68	103	68	68	68	68	68	68	69	101	68	68	69	81	81	52	52	8	52	52	81	81	102	68	69	
